filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible
0032_grid_b01_always_taken__c32_hilbert_curve_traversal,0032_grid_b01_always_taken__c32_hilbert_curve_traversal.c,always_taken,hilbert_curve_traversal,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17172731987336768,PASS,5,0.196740448,0.196404859,0.002125332,1,2412870655.6,831035215.0,330983948.0,10097115.4,2217815.2,1240646.2,0,1.4,0.0,8260.2,0.221709,2.90374,0.34442,0.030506,0.559543,0.137174,0.000919,41.373,0
0033_grid_b01_always_taken__c33_cache_set_conflict_stress,0033_grid_b01_always_taken__c33_cache_set_conflict_stress.c,always_taken,cache_set_conflict_stress,small_L1,static/trivial,conflict/associativity,native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,1121582979500000,PASS,5,0.000377319,0.000353757,6.7197e-05,1,8604908.8,3019890.2,1264773.0,6519.8,27071.6,14453.8,0,0.0,0.0,70.4,0.001208,3.01438,0.3503,0.005152,0.532894,0.146983,0.003145,1.26478,1
0034_grid_b01_always_taken__c34_variable_length_burst_reuse,0034_grid_b01_always_taken__c34_variable_length_burst_reuse.c,always_taken,variable_length_burst_reuse,medium_L2,static/trivial,capacity (uniform random),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6408582027945184,PASS,5,0.004272244,0.00409148,0.000694022,1,42686032.4,18536365.6,7039355.0,7056.8,39675.8,23513.8,0,0.2,0.0,131.2,0.004913,2.34286,0.43422,0.001003,0.590916,0.16491,0.000929,2.34644,1
0035_grid_b01_always_taken__c35_checkerboard_red_black,0035_grid_b01_always_taken__c35_checkerboard_red_black.c,always_taken,checkerboard_red_black,large_L3,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10736876218002038,PASS,5,0.025489787,0.025355424,0.000236611,1,126211026.0,109595387.8,12428078.8,15951.6,452681.2,116225.8,0,0.4,0.0,1092.0,0.029109,1.15172,0.86836,0.001283,0.256766,0.098471,0.003587,2.48564,1
0036_grid_b01_always_taken__c36_im2col_overlapping_patch_gather,0036_grid_b01_always_taken__c36_im2col_overlapping_patch_gather.c,always_taken,im2col_overlapping_patch_gather,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17172885053824316,PASS,5,0.007434726,0.006903442,0.001178682,1,251662755.0,98419089.4,25029984.2,10739.6,936315.6,677005.0,0,0.2,0.0,8259.8,0.026923,2.56324,0.39106,0.000429,0.723051,0.099458,0.00372,3.12876,1
0037_grid_b01_always_taken__c37_double_buffer_epoch_alternation,0037_grid_b01_always_taken__c37_double_buffer_epoch_alternation.c,always_taken,double_buffer_epoch_alternation,small_L1,static/trivial,conflict+capacity (thrashing/alternation),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2136436781151712,PASS,5,0.000817665,0.000823839,1.2322e-05,1,21806141.8,4431738.4,1266073.8,6337.0,28009.4,12226.2,0,0.0,0.0,70.8,0.00129,4.92086,0.20322,0.005005,0.436812,0.05806,0.001284,1.26606,1
0038_grid_b01_always_taken__c38_cuckoo_double_hash_probe,0038_grid_b01_always_taken__c38_cuckoo_double_hash_probe.c,always_taken,cuckoo_double_hash_probe,medium_L2,static/trivial,capacity+compulsory (indirect gather/scatter),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6419122549325616,PASS,5,0.002955966,0.002958417,1.9149e-05,1,51203212.0,13206225.8,6683940.6,6874.2,37927.0,17185.4,0,0.0,0.0,131.6,0.004023,3.87738,0.25792,0.001028,0.454294,0.130538,0.000741,2.22798,1
0039_grid_b01_always_taken__c39_bounded_random_walk,0039_grid_b01_always_taken__c39_bounded_random_walk.c,always_taken,bounded_random_walk,large_L3,static/trivial,capacity (uniform random),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10780624267257993,PASS,5,0.00885168,0.00882872,4.1591e-05,1,167746718.8,44050568.2,7224885.2,7453.0,115762.4,84569.4,0,0.0,0.0,1091.0,0.012352,3.80818,0.2626,0.001031,0.730656,0.043069,0.00069,1.44498,1
0040_grid_b01_always_taken__c40_causal_attention_triangular,0040_grid_b01_always_taken__c40_causal_attention_triangular.c,always_taken,causal_attention_triangular,xlarge_DRAM,static/trivial,mixed/unclassified,native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17173308764855986,PASS,5,0.063710982,0.063680588,0.000117413,1,284358832.8,316156455.4,24982045.2,10989.8,813435.6,653680.6,0,0.6,0.0,8259.6,0.083834,0.89944,1.1118,0.00044,0.803616,0.087853,0.00286,3.12276,1
0041_grid_b01_always_taken__c41_skip_list_multilevel_hop,0041_grid_b01_always_taken__c41_skip_list_multilevel_hop.c,always_taken,skip_list_multilevel_hop,small_L1,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2120093257003776,PASS,5,0.002400084,0.002365472,6.4069e-05,1,27069220.2,10756001.4,3195499.2,6684.4,30386.0,10827.2,0,0.0,0.0,70.4,0.00332,2.51808,0.39736,0.002092,0.353842,0.118049,0.001122,3.1955,1
0042_grid_b01_always_taken__c42_cache_oblivious_funnel_stride,0042_grid_b01_always_taken__c42_cache_oblivious_funnel_stride.c,always_taken,cache_oblivious_funnel_stride,medium_L2,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6419476127441444,PASS,5,0.011173747,0.011091608,0.000161597,1,173243541.0,46015575.8,34864043.4,7505.2,43899.2,19913.4,0,0.2,0.0,131.8,0.012004,3.76528,0.26562,0.000215,0.450919,0.201243,0.000253,11.62134,1
0043_grid_b01_always_taken__c43_whole_buffer_rotation,0043_grid_b01_always_taken__c43_whole_buffer_rotation.c,always_taken,whole_buffer_rotation,large_L3,static/trivial,mixed/unclassified,native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10734957046151516,PASS,5,0.003537747,0.003536979,2.007e-05,1,93738864.6,23016215.0,7228499.2,7043.6,427721.2,106929.4,0,0.4,0.0,1091.6,0.005581,4.07284,0.24554,0.000975,0.24999,0.077113,0.004563,1.4457,1
0044_grid_b01_always_taken__c44_naive_gemm_row_col_alternation,0044_grid_b01_always_taken__c44_naive_gemm_row_col_alternation.c,always_taken,naive_gemm_row_col_alternation,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17177895590972481,PASS,5,0.071218453,0.068772713,0.004106099,1,267401213.4,310036851.2,33061918.8,11471.8,5049397.8,3462202.4,0,1.0,0.0,8260.0,0.091883,0.86292,1.15932,0.000347,0.685552,0.123639,0.018884,4.13274,1
