filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible,instruction_count_source
046_b05_periodic8_biased__c06_random_full_working_set,046_b05_periodic8_biased__c06_random_full_working_set.c,periodic8_biased,random_full_working_set,medium_L2,static/periodic,capacity (uniform random),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1875000,1125000,2824918855045488,PASS,1,0.009571128,0.009571128,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
047_b05_periodic8_biased__c07_matrix_row_major,047_b05_periodic8_biased__c07_matrix_row_major.c,periodic8_biased,matrix_row_major,large_L3,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,3125000,1875000,4695440031494072,PASS,1,0.039983806,0.039983806,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
048_b05_periodic8_biased__c08_matrix_col_major,048_b05_periodic8_biased__c08_matrix_col_major.c,periodic8_biased,matrix_col_major,xlarge_DRAM,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,5000000,3000000,7512459045692304,PASS,1,0.092750393,0.092750393,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
049_b05_periodic8_biased__c09_matrix_tiled_blocked,049_b05_periodic8_biased__c09_matrix_tiled_blocked.c,periodic8_biased,matrix_tiled_blocked,small_L1,static/periodic,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,625000,375000,920921460257312,PASS,1,0.00943111,0.00943111,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
050_b05_periodic8_biased__c10_pointer_chase_linked_list,050_b05_periodic8_biased__c10_pointer_chase_linked_list.c,periodic8_biased,pointer_chase_linked_list,medium_L2,static/periodic,"compulsory+latency-bound (dependent loads, no prefetch)",qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1875000,1125000,2815499798413255,PASS,1,0.01603926,0.01603926,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
051_b06_pseudo_random_50__c01_sequential_unit_stride,051_b06_pseudo_random_50__c01_sequential_unit_stride.c,pseudo_random_50,sequential_unit_stride,medium_L2,stochastic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1499993,1500007,1604584336714655,PASS,1,0.01984074,0.01984074,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
052_b06_pseudo_random_50__c02_sequential_wraparound_large,052_b06_pseudo_random_50__c02_sequential_wraparound_large.c,pseudo_random_50,sequential_wraparound_large,large_L3,stochastic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,2499933,2500067,2685512138677755,PASS,1,0.033492721,0.033492721,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
053_b06_pseudo_random_50__c03_fixed_stride_small,053_b06_pseudo_random_50__c03_fixed_stride_small.c,pseudo_random_50,fixed_stride_small,xlarge_DRAM,stochastic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,3999992,4000008,4301764705489880,PASS,1,0.056659753,0.056659753,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
054_b06_pseudo_random_50__c04_fixed_stride_large,054_b06_pseudo_random_50__c04_fixed_stride_large.c,pseudo_random_50,fixed_stride_large,small_L1,stochastic,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,500065,499935,520495769081557,PASS,1,0.006773263,0.006773263,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
055_b06_pseudo_random_50__c05_random_small_working_set,055_b06_pseudo_random_50__c05_random_small_working_set.c,pseudo_random_50,random_small_working_set,medium_L2,stochastic,temporal reuse (capacity-sensitive),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,1499993,1500007,1602273549187553,PASS,1,0.020448907,0.020448907,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
