run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics
279_b28_data_driven_stack_machine__c29_ping_pong_cache_thrash,279_b28_data_driven_stack_machine__c29_ping_pong_cache_thrash,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,599107.0,721346.0,0.0,0.0,121021.0,1360.0,721270.0,463.0,1824.0,1775.0,0.000361,0.8305,1.204,0.0,0.011238,0.000642,branches_total;branch_misses_total
280_b28_data_driven_stack_machine__c30_gather_scatter_indirect_table,280_b28_data_driven_stack_machine__c30_gather_scatter_indirect_table,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,577384.0,671676.0,0.0,0.0,147311.0,1696.0,671600.0,480.0,2177.0,2042.0,0.000336,0.8596,1.1633,0.0,0.011513,0.000715,branches_total;branch_misses_total
281_b29_bursty_streak_pattern__c21_pyramid_multiresolution_stride,281_b29_bursty_streak_pattern__c21_pyramid_multiresolution_stride,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,619419.0,756910.0,0.0,0.0,121084.0,1359.0,756834.0,473.0,1832.0,1780.0,0.000378,0.8184,1.222,0.0,0.011224,0.000625,branches_total;branch_misses_total
282_b29_bursty_streak_pattern__c22_tensor_3d_slice_poor_locality,282_b29_bursty_streak_pattern__c22_tensor_3d_slice_poor_locality,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,622301.0,773470.0,0.0,0.0,121058.0,1371.0,773394.0,467.0,1838.0,1786.0,0.000387,0.8046,1.2429,0.0,0.011325,0.000604,branches_total;branch_misses_total
283_b29_bursty_streak_pattern__c23_struct_of_array_field_burst,283_b29_bursty_streak_pattern__c23_struct_of_array_field_burst,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,711067.0,1014481.0,0.0,0.0,121052.0,1354.0,1014405.0,467.0,1821.0,1770.0,0.000507,0.7009,1.4267,0.0,0.011185,0.00046,branches_total;branch_misses_total
284_b29_bursty_streak_pattern__c24_banked_interleaved_access,284_b29_bursty_streak_pattern__c24_banked_interleaved_access,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,622131.0,773282.0,0.0,0.0,120999.0,1359.0,773206.0,467.0,1826.0,1775.0,0.000387,0.8045,1.243,0.0,0.011231,0.000604,branches_total;branch_misses_total
285_b29_bursty_streak_pattern__c25_lru_recency_weighted_reuse,285_b29_bursty_streak_pattern__c25_lru_recency_weighted_reuse,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,874018.0,1076459.0,0.0,0.0,156158.0,1358.0,1076381.0,477.0,1835.0,1786.0,0.000538,0.8119,1.2316,0.0,0.008696,0.000443,branches_total;branch_misses_total
286_b29_bursty_streak_pattern__c26_geometric_stride_growth,286_b29_bursty_streak_pattern__c26_geometric_stride_growth,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,690545.0,797986.0,0.0,0.0,120973.0,1361.0,797910.0,467.0,1828.0,1777.0,0.000399,0.8654,1.1556,0.0,0.01125,0.000585,branches_total;branch_misses_total
287_b29_bursty_streak_pattern__c27_reduction_broadcast_pattern,287_b29_bursty_streak_pattern__c27_reduction_broadcast_pattern,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,612773.0,722437.0,0.0,0.0,121036.0,1359.0,722361.0,472.0,1831.0,1780.0,0.000361,0.8482,1.179,0.0,0.011228,0.000653,branches_total;branch_misses_total
288_b29_bursty_streak_pattern__c28_morton_zorder_traversal,288_b29_bursty_streak_pattern__c28_morton_zorder_traversal,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,1221879.0,2118045.0,0.0,0.0,120983.0,1355.0,2117969.0,473.0,1828.0,1778.0,0.001059,0.5769,1.7334,0.0,0.0112,0.000223,branches_total;branch_misses_total
